"","participant","rt","accuracy","item","task","control","AgeGroup","rawrt","condition"
"268",6,7.85271121007006,1,"diary","Size","incon","Younger",2572.7,"6incon"
"269",6,7.69839208081934,1,"gun","Size","incon","Younger",2204.8,"6incon"
"270",6,7.46175532813192,1,"football","Size","incon","Younger",1740.2,"6incon"
"271",6,7.42505986884584,1,"cranberry","Colour","incon","Younger",1677.5,"6incon"
"272",6,7.31348701820773,1,"cloud","Colour","incon","Younger",1500.4,"6incon"
"274",6,7.75786347239584,1,"handbag","Size","incon","Younger",2339.9,"6incon"
"275",6,7.56636277326734,1,"cup","Size","incon","Younger",1932.1,"6incon"
"276",6,7.59065008307773,1,"tribe","Size","incon","Younger",1979.6,"6incon"
"277",6,7.97570215333936,1,"highlighter","Colour","incon","Younger",2909.4,"6incon"
"278",6,8.09629967515085,1,"paper","Colour","incon","Younger",3282.3,"6incon"
"279",6,7.91866504278203,1,"lion","Colour","incon","Younger",2748.1,"6incon"
"280",6,7.78812863566949,1,"pencil","Size","incon","Younger",2411.8,"6incon"
"281",6,8.01862546504575,1,"theatre","Size","incon","Younger",3037,"6incon"
"282",6,7.86222772289634,1,"lighter","Size","incon","Younger",2597.3,"6incon"
"283",6,7.82084087990734,1,"blackboard","Colour","incon","Younger",2492,"6incon"
"284",6,7.86453514998634,1,"bread","Colour","incon","Younger",2603.3,"6incon"
"285",6,7.80787597769365,1,"dove","Colour","incon","Younger",2459.9,"6incon"
"287",6,8.16485170163035,1,"chair","Size","incon","Younger",3515.2,"6incon"
"288",6,7.77456160575738,1,"box","Size","incon","Younger",2379.3,"6incon"
"289",7,8.25387847541275,1,"ham","Colour","cong","Younger",3842.5,"7cong"
"290",7,8.43871259634259,1,"blood","Colour","cong","Younger",4622.6,"7cong"
"291",7,8.76734472157092,1,"broccoli","Colour","cong","Younger",6421.1,"7cong"
"292",7,8.51362683953663,1,"hammer","Size","cong","Younger",4982.2,"7cong"
"293",7,7.87348358445862,1,"orange","Size","cong","Younger",2626.7,"7cong"
"295",7,8.32377833082433,1,"coffee","Colour","cong","Younger",4120.7,"7cong"
"296",7,7.36169304054108,1,"ketchup","Colour","cong","Younger",1574.5,"7cong"
"297",7,7.67340915032883,1,"rhino","Colour","cong","Younger",2150.4,"7cong"
"298",7,7.8151667062497,1,"wasp","Size","cong","Younger",2477.9,"7cong"
"299",7,8.26361620548107,1,"goose","Size","cong","Younger",3880.1,"7cong"
"300",7,8.05918137214286,1,"donkey","Size","cong","Younger",3162.7,"7cong"
"301",7,8.61783458953409,1,"sunflower","Colour","cong","Younger",5529.4,"7cong"
"303",7,8.44283595743014,1,"grass","Colour","cong","Younger",4641.7,"7cong"
"304",7,7.89528702005354,1,"window","Size","cong","Younger",2684.6,"7cong"
"305",7,8.31710676967739,1,"pen","Size","cong","Younger",4093.3,"7cong"
"306",7,8.62957500000551,1,"mop","Size","cong","Younger",5594.7,"7cong"
"307",7,8.24748200428569,1,"snow","Colour","cong","Younger",3818,"7cong"
"308",7,8.10579049064132,1,"butter","Colour","cong","Younger",3313.6,"7cong"
"309",7,8.13370481611144,1,"oregano","Colour","cong","Younger",3407.4,"7cong"
"310",7,7.80917599818956,1,"fork","Size","cong","Younger",2463.1,"7cong"
"311",7,8.43823656041453,1,"doctor","Size","cong","Younger",4620.4,"7cong"
"312",7,7.96519829061218,1,"dancer","Size","cong","Younger",2879,"7cong"
"313",7,7.7774574214417,1,"rice","Colour","incon","Younger",2386.2,"7incon"
"314",7,8.10765981913212,1,"tar","Colour","incon","Younger",3319.8,"7incon"
"315",7,7.8137128067165,1,"trumpet","Colour","incon","Younger",2474.3,"7incon"
"316",7,7.88465180896615,1,"diary","Size","incon","Younger",2656.2,"7incon"
"317",7,8.45316653925139,1,"gun","Size","incon","Younger",4689.9,"7incon"
"318",7,8.07909124878178,1,"football","Size","incon","Younger",3226.3,"7incon"
"319",7,7.73087753596383,1,"cranberry","Colour","incon","Younger",2277.6,"7incon"
"320",7,7.5047769474447,1,"cloud","Colour","incon","Younger",1816.7,"7incon"
"321",7,7.66425277504284,1,"chalk","Colour","incon","Younger",2130.8,"7incon"
"322",7,7.94817332340552,1,"handbag","Size","incon","Younger",2830.4,"7incon"
"323",7,8.52289689433292,1,"cup","Size","incon","Younger",5028.6,"7incon"
"324",7,8.35083159420101,1,"tribe","Size","incon","Younger",4233.7,"7incon"
"325",7,7.82700163868192,1,"highlighter","Colour","incon","Younger",2507.4,"7incon"
"327",7,8.34988634753942,1,"lion","Colour","incon","Younger",4229.7,"7incon"
"328",7,8.14650625064395,1,"pencil","Size","incon","Younger",3451.3,"7incon"
"329",7,8.36245567276609,1,"theatre","Size","incon","Younger",4283.2,"7incon"
"330",7,8.64290912273107,1,"lighter","Size","incon","Younger",5669.8,"7incon"
"331",7,8.09727412633792,1,"blackboard","Colour","incon","Younger",3285.5,"7incon"
"332",7,7.94916209387947,1,"bread","Colour","incon","Younger",2833.2,"7incon"
"333",7,8.26054456154463,1,"dove","Colour","incon","Younger",3868.2,"7incon"
"334",7,8.0540142211176,1,"stool","Size","incon","Younger",3146.4,"7incon"
