participant,Item,Rule,Response,Trial,TrialType,accuracy,rt,Agegroup,Context,accuracy01
46,teeth,ACTION,brush,28,SingleNaming,0,X,Older,Single,0
58,teeth,ACTION,brush,28,SingleNaming,0,X,Younger,Single,0
99,teeth,ACTION,brush,28,SingleNaming,0,X,Older,Single,0
4,teeth,OBJECT,teeth,29,switch,0,X,Younger,Dual,0
5,teeth,OBJECT,teeth,29,switch,0,X,Younger,Dual,0
5,suitcase,OBJECT,suitcase,29,SingleNaming,0,X,Younger,Single,0
16,suitcase,OBJECT,suitcase,29,SingleNaming,0,X,Younger,Single,0
20,pen,ACTION,write,29,SingleNaming,0,X,Younger,Single,0
5,trophy,OBJECT,trophy,30,nonswitch,0,X,Younger,Dual,0
47,trophy,OBJECT,trophy,30,nonswitch,0,X,Younger,Dual,0
53,soap,OBJECT,soap,30,nonswitch,0,X,Younger,Dual,0
5,trophy,OBJECT,trophy,30,SingleNaming,0,X,Younger,Single,0
9,toy,ACTION,play,30,SingleNaming,0,X,Younger,Single,0
16,trophy,OBJECT,trophy,30,SingleNaming,0,X,Younger,Single,0
47,trophy,OBJECT,trophy,30,SingleNaming,0,X,Younger,Single,0
54,trophy,OBJECT,trophy,30,SingleNaming,0,X,Older,Single,0
95,toy,ACTION,play,30,SingleNaming,0,X,Older,Single,0
5,broom,ACTION,sweep,31,switch,0,X,Younger,Dual,0
63,strawberry,ACTION,eat,31,switch,0,X,Younger,Dual,0
68,broom,ACTION,sweep,31,switch,0,X,Younger,Dual,0
9,horse,ACTION,ride,31,SingleNaming,0,X,Younger,Single,0
15,horse,ACTION,ride,31,SingleNaming,0,X,Younger,Single,0
16,pen,OBJECT,pen,31,SingleNaming,0,X,Younger,Single,0
44,pen,ACTION,write,31,SingleNaming,0,X,Older,Single,0
55,horse,ACTION,ride,31,SingleNaming,0,X,Younger,Single,0
63,horse,ACTION,ride,31,SingleNaming,0,X,Younger,Single,0
83,pen,ACTION,write,31,SingleNaming,0,X,Older,Single,0
86,horse,ACTION,ride,31,SingleNaming,0,X,Older,Single,0
91,horse,ACTION,ride,31,SingleNaming,0,X,Older,Single,0
15,cup,ACTION,drink,32,nonswitch,0,X,Younger,Dual,0
