Task,participant,item,rule,Difficulty,TrialType,accuracy,rt,AgeGroup,rawrt
Bilingual,24,trophy,L2,low,nonswitch,1,7.0612486,Younger,1165.9
Bilingual,24,cake,L2,low,nonswitch,1,7.126006884,Younger,1243.9
Bilingual,24,strawberry,L2,low,nonswitch,1,6.851290742,Younger,945.1
Bilingual,24,toy,L2,low,nonswitch,1,6.829361212,Younger,924.6
Bilingual,24,ladder,L2,low,nonswitch,1,6.7597192,Younger,862.4
Bilingual,24,pen,L2,low,nonswitch,1,6.878841269,Younger,971.5
Bilingual,24,cup,L2,low,nonswitch,1,6.819798,Younger,915.8
Bilingual,24,plane,L2,low,nonswitch,1,6.758442876,Younger,861.3
Bilingual,24,candle,L2,low,nonswitch,1,6.994024714,Younger,1090.1
Bilingual,24,eye,L2,low,nonswitch,1,6.960727164,Younger,1054.4
Bilingual,11,knife,L2,low,nonswitch,1,6.871817172,Younger,964.7
Bilingual,11,plane,L2,low,nonswitch,1,6.806608097,Younger,903.8
Bilingual,11,newspaper,L2,low,nonswitch,1,6.937314081,Younger,1030
Bilingual,11,teeth,L2,low,nonswitch,1,7.196911265,Younger,1335.3
Bilingual,11,pen,L2,low,nonswitch,1,6.84694314,Younger,941
Bilingual,11,soap,L2,low,nonswitch,1,6.810583367,Younger,907.4
Bilingual,11,cup,L2,low,nonswitch,1,7.60698393,Younger,2012.2
Bilingual,11,horse,L2,low,nonswitch,1,7.011484465,Younger,1109.3
Bilingual,11,knife,L2,low,nonswitch,1,6.805501045,Younger,902.8
Bilingual,11,candle,L2,low,nonswitch,1,7.170042617,Younger,1299.9
Bilingual,11,strawberry,L2,low,nonswitch,1,7.430351358,Younger,1686.4
Bilingual,11,eye,L2,low,nonswitch,1,7.005335607,Younger,1102.5
Bilingual,11,broom,L2,low,nonswitch,1,6.807713925,Younger,904.8
Bilingual,11,brain,L2,low,nonswitch,1,6.649890875,Younger,772.7
Bilingual,11,present,L2,low,nonswitch,1,6.804170963,Younger,901.6
Bilingual,11,brain,L2,low,nonswitch,1,6.667211213,Younger,786.2
Bilingual,11,coat,L2,low,nonswitch,1,6.672032945,Younger,790
Bilingual,11,ladder,L2,low,nonswitch,1,6.777988221,Younger,878.3
Bilingual,11,newspaper,L2,low,nonswitch,1,6.633976112,Younger,760.5
Bilingual,11,soap,L2,low,nonswitch,1,6.988782118,Younger,1084.4
Bilingual,11,coat,L2,low,nonswitch,1,6.736966958,Younger,843
Bilingual,11,toy,L2,low,nonswitch,1,6.862444056,Younger,955.7
Bilingual,11,suitcase,L2,low,nonswitch,1,7.512890582,Younger,1831.5
Bilingual,11,horse,L2,low,nonswitch,1,6.849490371,Younger,943.4
Bilingual,11,suitcase,L2,low,nonswitch,1,7.232588617,Younger,1383.8
Bilingual,11,trophy,L2,low,nonswitch,1,6.809811635,Younger,906.7
Bilingual,11,broom,L2,low,nonswitch,1,7.053499293,Younger,1156.9
Bilingual,11,cake,L2,low,nonswitch,1,6.90895456,Younger,1001.2
Bilingual,11,toy,L2,low,nonswitch,1,6.88550967,Younger,978
Bilingual,11,present,L2,low,nonswitch,1,7.630412717,Younger,2059.9
Bilingual,11,ladder,L2,low,nonswitch,1,6.922840916,Younger,1015.2
Bilingual,11,cup,L2,low,nonswitch,1,7.227517245,Younger,1376.8
Bilingual,11,plane,L2,low,nonswitch,1,6.91204606,Younger,1004.3
Bilingual,11,candle,L2,low,nonswitch,1,7.417340133,Younger,1664.6
Bilingual,11,eye,L2,low,nonswitch,1,6.849702348,Younger,943.6
Bilingual,11,teeth,L2,low,nonswitch,1,6.663771062,Younger,783.5
Bilingual,41,knife,L2,low,nonswitch,1,6.915921842,Older,1008.2
Bilingual,41,plane,L2,low,nonswitch,1,6.83400109,Older,928.9
Bilingual,41,cake,L2,low,nonswitch,1,6.992096427,Older,1088
Bilingual,41,newspaper,L2,low,nonswitch,1,7.050382677,Older,1153.3
Bilingual,41,teeth,L2,low,nonswitch,1,6.875541957,Older,968.3
Bilingual,41,pen,L2,low,nonswitch,1,6.675823222,Older,793
Bilingual,41,soap,L2,low,nonswitch,1,6.766306915,Older,868.1
Bilingual,41,cup,L2,low,nonswitch,1,6.841294912,Older,935.7
Bilingual,41,horse,L2,low,nonswitch,1,6.889285763,Older,981.7
Bilingual,41,knife,L2,low,nonswitch,1,6.947841003,Older,1040.9
Bilingual,41,trophy,L2,low,nonswitch,1,6.939544601,Older,1032.3
Bilingual,41,strawberry,L2,low,nonswitch,1,6.858565035,Older,952
Bilingual,41,eye,L2,low,nonswitch,1,6.836903538,Older,931.6
Bilingual,41,broom,L2,low,nonswitch,1,6.676579556,Older,793.6
Bilingual,41,brain,L2,low,nonswitch,1,7.144328251,Older,1266.9
Bilingual,41,present,L2,low,nonswitch,1,6.777418777,Older,877.8
Bilingual,41,brain,L2,low,nonswitch,1,7.133295955,Older,1253
Bilingual,41,coat,L2,low,nonswitch,1,6.671019774,Older,789.2
Bilingual,41,ladder,L2,low,nonswitch,1,6.985364258,Older,1080.7
Bilingual,41,newspaper,L2,low,nonswitch,1,7.031917922,Older,1132.2
Bilingual,41,soap,L2,low,nonswitch,1,6.636995874,Older,762.8
Bilingual,41,coat,L2,low,nonswitch,1,6.683235781,Older,798.9
Bilingual,41,toy,L2,low,nonswitch,1,6.870261075,Older,963.2
Bilingual,41,suitcase,L2,low,nonswitch,1,6.946302689,Older,1039.3
Bilingual,41,horse,L2,low,nonswitch,1,6.952059205,Older,1045.3
Bilingual,41,suitcase,L2,low,nonswitch,1,6.827195771,Older,922.6
Bilingual,41,trophy,L2,low,nonswitch,1,7.053499293,Older,1156.9
Bilingual,41,broom,L2,low,nonswitch,1,6.643008178,Older,767.4
Bilingual,41,cake,L2,low,nonswitch,1,6.886020787,Older,978.5
Bilingual,41,toy,L2,low,nonswitch,1,6.898512698,Older,990.8
Bilingual,41,present,L2,low,nonswitch,1,6.922840916,Older,1015.2
Bilingual,41,ladder,L2,low,nonswitch,1,6.916516785,Older,1008.8
Bilingual,41,pen,L2,low,nonswitch,1,6.773766639,Older,874.6
Bilingual,41,cup,L2,low,nonswitch,1,6.875645225,Older,968.4
Bilingual,41,plane,L2,low,nonswitch,1,6.713806386,Older,823.7
Bilingual,41,candle,L2,low,nonswitch,1,6.889998557,Older,982.4
Bilingual,41,eye,L2,low,nonswitch,1,6.862339415,Older,955.6
Bilingual,41,teeth,L2,low,nonswitch,1,6.756350825,Older,859.5
Bilingual,56,knife,L2,low,nonswitch,1,6.924809034,Younger,1017.2
Bilingual,56,plane,L2,low,nonswitch,1,6.796041289,Younger,894.3
Bilingual,56,newspaper,L2,low,nonswitch,1,6.819579588,Younger,915.6
Bilingual,56,teeth,L2,low,nonswitch,1,6.888878223,Younger,981.3
Bilingual,56,pen,L2,low,nonswitch,1,7.122301983,Younger,1239.3
Bilingual,56,soap,L2,low,nonswitch,1,7.142273888,Younger,1264.3
Bilingual,56,cup,L2,low,nonswitch,1,7.126971127,Younger,1245.1
Bilingual,56,horse,L2,low,nonswitch,1,7.07834158,Younger,1186
Bilingual,56,knife,L2,low,nonswitch,1,6.867558089,Younger,960.6
Bilingual,56,candle,L2,low,nonswitch,1,6.933520487,Younger,1026.1
Bilingual,56,trophy,L2,low,nonswitch,1,7.269338159,Younger,1435.6
Bilingual,56,strawberry,L2,low,nonswitch,1,6.741464539,Younger,846.8
Bilingual,56,eye,L2,low,nonswitch,1,6.920177799,Younger,1012.5
Bilingual,56,broom,L2,low,nonswitch,1,6.809149675,Younger,906.1
Bilingual,56,brain,L2,low,nonswitch,1,6.632660322,Younger,759.5
Bilingual,56,present,L2,low,nonswitch,1,6.7379155,Younger,843.8
Bilingual,56,brain,L2,low,nonswitch,1,6.939350841,Younger,1032.1
Bilingual,56,coat,L2,low,nonswitch,1,6.776278916,Younger,876.8
Bilingual,56,ladder,L2,low,nonswitch,1,6.687357953,Younger,802.2
Bilingual,56,newspaper,L2,low,nonswitch,1,6.810693566,Younger,907.5
Bilingual,56,soap,L2,low,nonswitch,1,6.621805039,Younger,751.3
Bilingual,56,coat,L2,low,nonswitch,1,6.901737207,Younger,994
Bilingual,56,toy,L2,low,nonswitch,1,6.985271721,Younger,1080.6
Bilingual,56,suitcase,L2,low,nonswitch,1,6.854881789,Younger,948.5
Bilingual,56,horse,L2,low,nonswitch,1,6.962716837,Younger,1056.5
Bilingual,56,suitcase,L2,low,nonswitch,1,6.760182915,Younger,862.8
