participant,rt,accuracy,item,task,control,AgeGroup
6,1581.7,1,donkey,Size,cong,Younger
6,2066.9,1,sunflower,Colour,cong,Younger
6,1732.5,1,gin,Colour,cong,Younger
6,2021.9,1,grass,Colour,cong,Younger
6,2675.3,1,window,Size,cong,Younger
6,2586.9,1,pen,Size,cong,Younger
6,2355.8,1,mop,Size,cong,Younger
6,2165.6,1,snow,Colour,cong,Younger
6,2076.4,1,butter,Colour,cong,Younger
6,2083.9,1,oregano,Colour,cong,Younger
6,1803.9,1,fork,Size,cong,Younger
6,2462.9,1,doctor,Size,cong,Younger
6,2245.4,1,dancer,Size,cong,Younger
6,1723.1,1,rice,Colour,incon,Younger
6,5548.5,0,tar,Colour,incon,Younger
6,2682.9,1,trumpet,Colour,incon,Younger
6,2572.7,1,diary,Size,incon,Younger
6,2204.8,1,gun,Size,incon,Younger
6,1740.2,1,football,Size,incon,Younger
6,1677.5,1,cranberry,Colour,incon,Younger
6,1500.4,1,cloud,Colour,incon,Younger
6,1637.1,0,chalk,Colour,incon,Younger
6,2339.9,1,handbag,Size,incon,Younger
6,1932.1,1,cup,Size,incon,Younger
6,1979.6,1,tribe,Size,incon,Younger
6,2909.4,1,highlighter,Colour,incon,Younger
6,3282.3,1,paper,Colour,incon,Younger
6,2748.1,1,lion,Colour,incon,Younger
6,2411.8,1,pencil,Size,incon,Younger
6,3037,1,theatre,Size,incon,Younger
6,2597.3,1,lighter,Size,incon,Younger
6,2492,1,blackboard,Colour,incon,Younger
6,2603.3,1,bread,Colour,incon,Younger
6,2459.9,1,dove,Colour,incon,Younger
6,3044.3,0,stool,Size,incon,Younger
6,3515.2,1,chair,Size,incon,Younger
6,2379.3,1,box,Size,incon,Younger
7,3842.5,1,ham,Colour,cong,Younger
7,4622.6,1,blood,Colour,cong,Younger
7,6421.1,1,broccoli,Colour,cong,Younger
7,4982.2,1,hammer,Size,cong,Younger
7,2626.7,1,orange,Size,cong,Younger
7,5040.3,0,mouth,Size,cong,Younger
7,4120.7,1,coffee,Colour,cong,Younger
7,1574.5,1,ketchup,Colour,cong,Younger
7,2150.4,1,rhino,Colour,cong,Younger
7,2477.9,1,wasp,Size,cong,Younger
7,3880.1,1,goose,Size,cong,Younger
7,3162.7,1,donkey,Size,cong,Younger
7,5529.4,1,sunflower,Colour,cong,Younger
7,6346.5,0,gin,Colour,cong,Younger
7,4641.7,1,grass,Colour,cong,Younger
7,2684.6,1,window,Size,cong,Younger
7,4093.3,1,pen,Size,cong,Younger
7,5594.7,1,mop,Size,cong,Younger
7,3818,1,snow,Colour,cong,Younger
7,3313.6,1,butter,Colour,cong,Younger
7,3407.4,1,oregano,Colour,cong,Younger
7,2463.1,1,fork,Size,cong,Younger
7,4620.4,1,doctor,Size,cong,Younger
7,2879,1,dancer,Size,cong,Younger
7,2386.2,1,rice,Colour,incon,Younger
7,3319.8,1,tar,Colour,incon,Younger
7,2474.3,1,trumpet,Colour,incon,Younger
7,2656.2,1,diary,Size,incon,Younger
7,4689.9,1,gun,Size,incon,Younger
7,3226.3,1,football,Size,incon,Younger
7,2277.6,1,cranberry,Colour,incon,Younger
7,1816.7,1,cloud,Colour,incon,Younger
7,2130.8,1,chalk,Colour,incon,Younger
7,2830.4,1,handbag,Size,incon,Younger
7,5028.6,1,cup,Size,incon,Younger
7,4233.7,1,tribe,Size,incon,Younger
7,2507.4,1,highlighter,Colour,incon,Younger
7,3608,0,paper,Colour,incon,Younger
7,4229.7,1,lion,Colour,incon,Younger
7,3451.3,1,pencil,Size,incon,Younger
7,4283.2,1,theatre,Size,incon,Younger
7,5669.8,1,lighter,Size,incon,Younger
7,3285.5,1,blackboard,Colour,incon,Younger
7,2833.2,1,bread,Colour,incon,Younger
7,3868.2,1,dove,Colour,incon,Younger
7,3146.4,1,stool,Size,incon,Younger
7,3420.4,1,chair,Size,incon,Younger
7,5672.5,1,box,Size,incon,Younger
8,1386.9,1,ham,Colour,cong,Younger
8,1881.7,1,blood,Colour,cong,Younger
8,2949.7,1,broccoli,Colour,cong,Younger
8,2470.5,1,hammer,Size,cong,Younger
8,1825.4,1,orange,Size,cong,Younger
8,3184,1,mouth,Size,cong,Younger
8,2657.9,1,coffee,Colour,cong,Younger
8,3435.2,1,ketchup,Colour,cong,Younger
8,1655.9,1,rhino,Colour,cong,Younger
8,1229.3,1,wasp,Size,cong,Younger
8,2260.9,1,goose,Size,cong,Younger
8,1363.4,1,donkey,Size,cong,Younger
8,2521.4,1,sunflower,Colour,cong,Younger
8,4595.8,1,gin,Colour,cong,Younger
8,5280.2,1,grass,Colour,cong,Younger
8,3749,1,window,Size,cong,Younger
8,1890.1,1,pen,Size,cong,Younger
8,1997.1,1,mop,Size,cong,Younger
8,2666.1,1,snow,Colour,cong,Younger
8,3249.3,1,butter,Colour,cong,Younger
8,2019.2,1,oregano,Colour,cong,Younger
8,4228.9,1,fork,Size,cong,Younger
8,3177.9,1,doctor,Size,cong,Younger
8,3434,1,dancer,Size,cong,Younger
8,3028.5,1,rice,Colour,incon,Younger
8,1993.4,1,tar,Colour,incon,Younger
8,2732.3,1,trumpet,Colour,incon,Younger
8,2781.2,0,diary,Size,incon,Younger
8,2270.1,1,gun,Size,incon,Younger
8,2285.8,1,football,Size,incon,Younger
8,2578.6,1,cranberry,Colour,incon,Younger
8,1792.4,1,cloud,Colour,incon,Younger
8,2206.9,1,chalk,Colour,incon,Younger
8,2100.8,1,handbag,Size,incon,Younger
8,2238.4,1,cup,Size,incon,Younger
8,2342.2,1,tribe,Size,incon,Younger
8,3338.4,1,highlighter,Colour,incon,Younger
8,4482.2,1,paper,Colour,incon,Younger
8,4438.5,0,lion,Colour,incon,Younger
8,3332,1,pencil,Size,incon,Younger
8,2747.4,1,theatre,Size,incon,Younger
8,4386,1,lighter,Size,incon,Younger
8,2788.8,1,blackboard,Colour,incon,Younger
8,2019.1,1,bread,Colour,incon,Younger
8,4184.9,1,dove,Colour,incon,Younger
8,3158.6,0,stool,Size,incon,Younger
8,2941.6,1,chair,Size,incon,Younger
8,5065.9,1,box,Size,incon,Younger
9,1557.1,1,ham,Colour,cong,Younger
9,1687.5,1,blood,Colour,cong,Younger
9,1571.5,1,broccoli,Colour,cong,Younger
9,1804.5,1,hammer,Size,cong,Younger
9,1688.3,1,orange,Size,cong,Younger
9,1504.7,1,mouth,Size,cong,Younger
9,2521.4,1,coffee,Colour,cong,Younger
9,1388.6,1,ketchup,Colour,cong,Younger
9,1372.4,1,rhino,Colour,cong,Younger
9,1055.1,1,wasp,Size,cong,Younger
9,1154.8,1,goose,Size,cong,Younger
9,1304.2,1,donkey,Size,cong,Younger
