"","participant","Item","Rule","Response","Trial","TrialType","accuracy","rt","Agegroup","Context","accuracy01","Rule_coded","Agegroup_coded","rawrt","condition"
"1472",2,"broom","ACTION","sweep",4,"SingleNaming",1,6.56357339929087,"Younger","Single",1,0.5,-0.5,708.8,"2SingleNamingACTION"
"1748",2,"eye","ACTION","see",5,"SingleNaming",1,6.94089987757444,"Younger","Single",1,0.5,-0.5,1033.7,"2SingleNamingACTION"
"2299",2,"suitcase","ACTION","pack",7,"SingleNaming",1,6.90203897198603,"Younger","Single",1,0.5,-0.5,994.3,"2SingleNamingACTION"
"2581",2,"candle","ACTION","light",8,"SingleNaming",1,6.86849456502883,"Younger","Single",1,0.5,-0.5,961.5,"2SingleNamingACTION"
"2853",2,"pen","ACTION","write",9,"SingleNaming",1,6.7854746442733,"Younger","Single",1,0.5,-0.5,884.9,"2SingleNamingACTION"
"3109",2,"toy","ACTION","play",10,"SingleNaming",1,6.73101810048208,"Younger","Single",1,0.5,-0.5,838,"2SingleNamingACTION"
"3639",2,"coat","ACTION","wear",12,"SingleNaming",1,6.88243747099785,"Younger","Single",1,0.5,-0.5,975,"2SingleNamingACTION"
"3910",2,"plane","ACTION","fly",13,"SingleNaming",1,6.96262218042298,"Younger","Single",1,0.5,-0.5,1056.4,"2SingleNamingACTION"
"4454",2,"ladder","ACTION","climb",15,"SingleNaming",1,6.68248446665175,"Younger","Single",1,0.5,-0.5,798.3,"2SingleNamingACTION"
"4700",2,"knife","ACTION","cut",16,"SingleNaming",1,6.71877157931463,"Younger","Single",1,0.5,-0.5,827.8,"2SingleNamingACTION"
"4977",2,"soap","ACTION","wash",17,"SingleNaming",1,7.47511245348378,"Younger","Single",1,0.5,-0.5,1763.6,"2SingleNamingACTION"
"5254",2,"newspaper","ACTION","read",18,"SingleNaming",1,6.79122146272619,"Younger","Single",1,0.5,-0.5,890,"2SingleNamingACTION"
"5808",2,"trophy","ACTION","win",20,"SingleNaming",1,6.95854344581424,"Younger","Single",1,0.5,-0.5,1052.1,"2SingleNamingACTION"
"6071",2,"knife","ACTION","cut",21,"SingleNaming",1,6.77776048236595,"Younger","Single",1,0.5,-0.5,878.1,"2SingleNamingACTION"
"6351",2,"strawberry","ACTION","eat",22,"SingleNaming",1,6.7244332218546,"Younger","Single",1,0.5,-0.5,832.5,"2SingleNamingACTION"
"6624",2,"cup","ACTION","drink",23,"SingleNaming",1,7.05012252026906,"Younger","Single",1,0.5,-0.5,1153,"2SingleNamingACTION"
"7190",2,"eye","ACTION","see",25,"SingleNaming",1,7.09531310257134,"Younger","Single",1,0.5,-0.5,1206.3,"2SingleNamingACTION"
"7469",2,"ladder","ACTION","climb",26,"SingleNaming",1,6.90565307089027,"Younger","Single",1,0.5,-0.5,997.9,"2SingleNamingACTION"
"7750",2,"suitcase","ACTION","pack",27,"SingleNaming",1,7.7478127048567,"Younger","Single",1,0.5,-0.5,2316.5,"2SingleNamingACTION"
"8028",2,"teeth","ACTION","brush",28,"SingleNaming",1,7.19270863186266,"Younger","Single",1,0.5,-0.5,1329.7,"2SingleNamingACTION"
"8298",2,"pen","ACTION","write",29,"SingleNaming",1,6.89962229575195,"Younger","Single",1,0.5,-0.5,991.9,"2SingleNamingACTION"
"8576",2,"toy","ACTION","play",30,"SingleNaming",1,6.81245509912781,"Younger","Single",1,0.5,-0.5,909.1,"2SingleNamingACTION"
"8851",2,"horse","ACTION","ride",31,"SingleNaming",1,7.16216491217035,"Younger","Single",1,0.5,-0.5,1289.7,"2SingleNamingACTION"
"9127",2,"coat","ACTION","wear",32,"SingleNaming",1,7.5045567437554,"Younger","Single",1,0.5,-0.5,1816.3,"2SingleNamingACTION"
"9407",2,"plane","ACTION","fly",33,"SingleNaming",1,6.99108488656914,"Younger","Single",1,0.5,-0.5,1086.9,"2SingleNamingACTION"
"9690",2,"cake","ACTION","bake",34,"SingleNaming",1,7.68354179306288,"Younger","Single",1,0.5,-0.5,2172.3,"2SingleNamingACTION"
"9961",2,"candle","ACTION","light",35,"SingleNaming",1,7.72894380942297,"Younger","Single",1,0.5,-0.5,2273.2,"2SingleNamingACTION"
"10244",2,"broom","ACTION","sweep",36,"SingleNaming",1,6.91085048388944,"Younger","Single",1,0.5,-0.5,1003.1,"2SingleNamingACTION"
"10526",2,"soap","ACTION","wash",37,"SingleNaming",1,7.06090545847581,"Younger","Single",1,0.5,-0.5,1165.5,"2SingleNamingACTION"
"10814",2,"newspaper","ACTION","read",38,"SingleNaming",1,6.949472872334,"Younger","Single",1,0.5,-0.5,1042.6,"2SingleNamingACTION"
"11098",2,"present","ACTION","give",39,"SingleNaming",1,7.18371895847972,"Younger","Single",1,0.5,-0.5,1317.8,"2SingleNamingACTION"
"11371",2,"trophy","ACTION","win",40,"SingleNaming",1,7.91688040114871,"Younger","Single",1,0.5,-0.5,2743.2,"2SingleNamingACTION"
"648",3,"broom","OBJECT","broom",1,"SingleNaming",1,6.93731408122368,"Younger","Single",1,-0.5,-0.5,1030,"3SingleNamingOBJECT"
"937",3,"ladder","OBJECT","ladder",2,"SingleNaming",1,7.03447603176129,"Younger","Single",1,-0.5,-0.5,1135.1,"3SingleNamingOBJECT"
"1202",3,"coat","OBJECT","coat",3,"SingleNaming",1,6.93731408122368,"Younger","Single",1,-0.5,-0.5,1030,"3SingleNamingOBJECT"
"1475",3,"newspaper","OBJECT","newspaper",4,"SingleNaming",1,7.3213869497567,"Younger","Single",1,-0.5,-0.5,1512.3,"3SingleNamingOBJECT"
"1750",3,"suitcase","OBJECT","suitcase",5,"SingleNaming",1,7.47862182483325,"Younger","Single",1,-0.5,-0.5,1769.8,"3SingleNamingOBJECT"
"2025",3,"plane","OBJECT","plane",6,"SingleNaming",1,7.55171221535131,"Younger","Single",1,-0.5,-0.5,1904,"3SingleNamingOBJECT"
